,Year,Continent,Disaster Type,counts
0,1900,Africa,Drought,1
1,1900,Americas,Epidemic,1
2,1900,Americas,Flood,1
3,1900,Americas,Miscellaneous accident,1
4,1900,Americas,Storm,1
5,1900,Asia,Drought,1
6,1900,Asia,Earthquake,1
7,1900,Asia,Volcanic activity,1
8,1901,Africa,Epidemic,1
9,1901,Asia,Earthquake,1
10,1901,Europe,Industrial accident,1
11,1902,Americas,Earthquake,1
12,1902,Americas,Miscellaneous accident,1
13,1902,Americas,Volcanic activity,4
14,1902,Asia,Earthquake,2
15,1902,Asia,Storm,1
16,1902,Asia,Volcanic activity,1
17,1902,Europe,Earthquake,1
18,1903,Africa,Drought,1
19,1903,Africa,Volcanic activity,1
20,1903,Americas,Flood,2
21,1903,Americas,Mass movement (dry),1
22,1903,Americas,Miscellaneous accident,1
23,1903,Americas,Storm,2
24,1903,Asia,Earthquake,5
25,1903,Europe,Miscellaneous accident,1
26,1904,Americas,Transport accident,2
27,1904,Asia,Earthquake,2
28,1904,Asia,Storm,1
29,1904,Europe,Earthquake,1
30,1904,Europe,Miscellaneous accident,1
31,1905,Americas,Mass movement (dry),1
32,1905,Asia,Earthquake,4
33,1905,Asia,Storm,1
34,1905,Europe,Earthquake,2
35,1905,Europe,Industrial accident,1
36,1906,Africa,Drought,1
37,1906,Americas,Earthquake,3
38,1906,Americas,Miscellaneous accident,1
39,1906,Americas,Storm,2
40,1906,Asia,Earthquake,3
41,1906,Asia,Storm,1
42,1906,Europe,Flood,2
43,1906,Europe,Industrial accident,1
44,1906,Europe,Transport accident,2
45,1906,Europe,Volcanic activity,1
46,1907,Americas,Earthquake,1
47,1907,Americas,Miscellaneous accident,1
48,1907,Asia,Earthquake,1
49,1907,Asia,Epidemic,1
50,1908,Americas,Mass movement (dry),1
51,1908,Americas,Miscellaneous accident,4
52,1908,Asia,Industrial accident,1
53,1908,Europe,Earthquake,2
54,1908,Europe,Industrial accident,2
55,1909,Africa,Earthquake,1
56,1909,Americas,Flood,1
57,1909,Americas,Landslide,1
58,1909,Americas,Miscellaneous accident,1
59,1909,Americas,Storm,3
60,1909,Asia,Earthquake,5
61,1909,Asia,Epidemic,2
62,1909,Asia,Storm,2
63,1909,Europe,Earthquake,2
64,1910,Africa,Drought,9
65,1910,Africa,Earthquake,1
66,1910,Americas,Earthquake,2
67,1910,Americas,Landslide,1
68,1910,Americas,Storm,1
69,1910,Americas,Transport accident,1
70,1910,Asia,Earthquake,1
71,1910,Asia,Epidemic,1
72,1910,Asia,Flood,1
73,1910,Asia,Industrial accident,3
74,1911,Americas,Earthquake,1
75,1911,Americas,Miscellaneous accident,2
76,1911,Americas,Wildfire,1
77,1911,Asia,Earthquake,4
78,1911,Asia,Flood,1
79,1911,Asia,Storm,2
80,1911,Asia,Volcanic activity,1
81,1912,Americas,Storm,2
82,1912,Asia,Earthquake,1
83,1912,Asia,Storm,3
84,1912,Asia,Transport accident,1
85,1912,Europe,Transport accident,2
86,1913,Africa,Insect infestation,1
87,1913,Americas,Earthquake,1
88,1913,Americas,Storm,1
89,1913,Americas,Transport accident,1
90,1913,Asia,Earthquake,2
91,1913,Europe,Earthquake,1
92,1913,Europe,Industrial accident,1
93,1913,Europe,Transport accident,1
94,1914,Americas,Earthquake,1
95,1914,Americas,Industrial accident,1
96,1914,Americas,Transport accident,1
97,1914,Asia,Earthquake,3
98,1914,Asia,Volcanic activity,1
99,1914,Europe,Earthquake,2
100,1914,Oceania,Storm,1
101,1915,Americas,Earthquake,1
102,1915,Americas,Landslide,1
103,1915,Americas,Storm,2
104,1915,Americas,Transport accident,1
105,1915,Asia,Earthquake,1
106,1915,Asia,Flood,1
107,1915,Europe,Earthquake,1
108,1915,Europe,Transport accident,3
109,1916,Americas,Miscellaneous accident,3
110,1916,Asia,Earthquake,2
111,1916,Asia,Storm,1
112,1916,Asia,Transport accident,1
113,1916,Europe,Transport accident,4
114,1917,Americas,Earthquake,1
115,1917,Americas,Industrial accident,1
116,1917,Americas,Storm,1
117,1917,Americas,Transport accident,1
118,1917,Asia,Earthquake,3
119,1917,Asia,Flood,1
120,1917,Asia,Storm,1
121,1917,Europe,Epidemic,1
122,1917,Europe,Transport accident,7
123,1918,Americas,Earthquake,1
124,1918,Americas,Epidemic,1
125,1918,Americas,Industrial accident,1
126,1918,Americas,Miscellaneous accident,1
127,1918,Americas,Storm,1
128,1918,Americas,Transport accident,3
129,1918,Americas,Wildfire,1
130,1918,Asia,Earthquake,2
131,1918,Asia,Epidemic,1
132,1918,Europe,Transport accident,3
133,1918,Oceania,Epidemic,1
134,1919,Americas,Drought,1
135,1919,Americas,Epidemic,1
136,1919,Americas,Storm,1
137,1919,Asia,Storm,1
138,1919,Asia,Volcanic activity,1
139,1920,Africa,Drought,1
140,1920,Americas,Earthquake,2
141,1920,Americas,Epidemic,1
142,1920,Americas,Storm,1
143,1920,Asia,Drought,1
144,1920,Asia,Earthquake,1
145,1920,Asia,Epidemic,2
146,1920,Asia,Miscellaneous accident,1
147,1920,Europe,Earthquake,2
148,1920,Europe,Flood,1
149,1920,Europe,Industrial accident,1
150,1921,Americas,Epidemic,1
151,1921,Asia,Transport accident,1
152,1921,Europe,Drought,1
153,1921,Europe,Industrial accident,2
154,1921,Europe,Transport accident,1
155,1922,Americas,Earthquake,1
156,1922,Americas,Epidemic,1
157,1922,Americas,Transport accident,1
158,1922,Americas,Wildfire,1
159,1922,Asia,Earthquake,2
160,1922,Asia,Miscellaneous accident,1
161,1922,Asia,Storm,2
162,1922,Asia,Transport accident,1
163,1922,Europe,Industrial accident,1
164,1922,Europe,Landslide,1
165,1923,Africa,Epidemic,1
166,1923,Americas,Earthquake,1
167,1923,Americas,Epidemic,1
168,1923,Americas,Storm,1
169,1923,Asia,Earthquake,5
170,1923,Asia,Landslide,1
171,1923,Asia,Miscellaneous accident,1
172,1923,Asia,Storm,4
173,1923,Europe,Epidemic,1
174,1923,Europe,Industrial accident,1
175,1923,Europe,Miscellaneous accident,1
176,1923,Europe,Storm,1
177,1924,Americas,Earthquake,1
178,1924,Asia,Earthquake,5
179,1924,Asia,Epidemic,1
