,Disaster Type,Country,ISO,counts
0,Animal accident,Niger (the),NER,1
1,Complex Disasters,Armenia,ARM,1
2,Complex Disasters,Bangladesh,BGD,1
3,Complex Disasters,Burundi,BDI,1
4,Complex Disasters,Cambodia,KHM,1
5,Complex Disasters,Central African Republic,CAF,1
6,Complex Disasters,Comoros (the),COM,1
7,Complex Disasters,India,IND,1
8,Complex Disasters,Korea (the Democratic People's Republic of),PRK,1
9,Complex Disasters,Nicaragua,NIC,1
10,Complex Disasters,Panama,PAN,1
11,Complex Disasters,Soviet Union,SUN,1
12,Complex Disasters,Sudan (the),SDN,1
13,Complex Disasters,Togo,TGO,1
14,Complex Disasters,Yemen,YEM,1
15,Drought,Afghanistan,AFG,8
16,Drought,Albania,ALB,1
17,Drought,Algeria,DZA,1
18,Drought,Angola,AGO,8
19,Drought,Anguilla,AIA,1
20,Drought,Antigua and Barbuda,ATG,1
21,Drought,Argentina,ARG,4
22,Drought,Armenia,ARM,1
23,Drought,Australia,AUS,11
24,Drought,Azerbaijan,AZE,1
25,Drought,Bangladesh,BGD,7
26,Drought,Barbados,BRB,1
27,Drought,Belgium,BEL,1
28,Drought,Benin,BEN,2
29,Drought,Bolivia (Plurinational State of),BOL,13
30,Drought,Bosnia and Herzegovina,BIH,2
31,Drought,Botswana,BWA,7
32,Drought,Brazil,BRA,19
33,Drought,Bulgaria,BGR,2
34,Drought,Burkina Faso,BFA,14
35,Drought,Burundi,BDI,6
36,Drought,Cabo Verde,CPV,10
37,Drought,Cambodia,KHM,6
38,Drought,Cameroon,CMR,5
39,Drought,Canada,CAN,5
40,Drought,Central African Republic,CAF,1
41,Drought,Chad,TCD,11
42,Drought,Chile,CHL,2
43,Drought,China,CHN,40
44,Drought,Colombia,COL,2
45,Drought,Comoros (the),COM,1
46,Drought,Congo (the Democratic Republic of the),COD,2
47,Drought,Congo (the),COG,1
48,Drought,Costa Rica,CRI,5
49,Drought,Croatia,HRV,1
50,Drought,Cuba,CUB,7
51,Drought,Cyprus,CYP,2
52,Drought,Côte d’Ivoire,CIV,1
53,Drought,Denmark,DNK,1
54,Drought,Djibouti,DJI,9
55,Drought,Dominican Republic (the),DOM,1
56,Drought,Ecuador,ECU,4
57,Drought,El Salvador,SLV,7
58,Drought,Eritrea,ERI,3
59,Drought,Ethiopia,ETH,16
60,Drought,Fiji,FJI,3
61,Drought,France,FRA,4
62,Drought,Gambia (the),GMB,9
63,Drought,Georgia,GEO,1
64,Drought,Ghana,GHA,3
65,Drought,Greece,GRC,1
66,Drought,Grenada,GRD,1
67,Drought,Guatemala,GTM,7
68,Drought,Guinea,GIN,2
69,Drought,Guinea-Bissau,GNB,6
70,Drought,Guyana,GUY,3
71,Drought,Haiti,HTI,9
72,Drought,Honduras,HND,12
73,Drought,Hong Kong,HKG,7
74,Drought,Hungary,HUN,3
75,Drought,India,IND,16
76,Drought,Indonesia,IDN,10
77,Drought,Iran (Islamic Republic of),IRN,2
78,Drought,Iraq,IRQ,2
79,Drought,Israel,ISR,1
80,Drought,Italy,ITA,4
81,Drought,Jamaica,JAM,4
82,Drought,Japan,JPN,1
83,Drought,Jordan,JOR,2
84,Drought,Kenya,KEN,16
85,Drought,Kiribati,KIR,1
86,Drought,Korea (the Democratic People's Republic of),PRK,4
87,Drought,Korea (the Republic of),KOR,2
88,Drought,Kyrgyzstan,KGZ,1
89,Drought,Lao People's Democratic Republic (the),LAO,6
90,Drought,Lesotho,LSO,9
91,Drought,Liberia,LBR,1
92,Drought,Lithuania,LTU,3
93,Drought,Macedonia (the former Yugoslav Republic of),MKD,1
94,Drought,Madagascar,MDG,10
95,Drought,Malawi,MWI,8
96,Drought,Malaysia,MYS,2
97,Drought,Mali,MLI,12
98,Drought,Marshall Islands (the),MHL,2
99,Drought,Mauritania,MRT,15
100,Drought,Mauritius,MUS,1
101,Drought,Mexico,MEX,7
102,Drought,Micronesia (Federated States of),FSM,2
103,Drought,Moldova (the Republic of),MDA,3
104,Drought,Mongolia,MNG,1
105,Drought,Morocco,MAR,5
106,Drought,Mozambique,MOZ,14
107,Drought,Namibia,NAM,9
108,Drought,Nepal,NPL,6
109,Drought,New Zealand,NZL,2
110,Drought,Nicaragua,NIC,6
111,Drought,Niger (the),NER,16
112,Drought,Nigeria,NGA,1
113,Drought,Pakistan,PAK,2
114,Drought,Panama,PAN,4
115,Drought,Papua New Guinea,PNG,3
116,Drought,Paraguay,PRY,9
117,Drought,Peru,PER,8
118,Drought,Philippines (the),PHL,10
119,Drought,Poland,POL,1
120,Drought,Portugal,PRT,3
121,Drought,Puerto Rico,PRI,1
122,Drought,Romania,ROU,2
123,Drought,Russian Federation (the),RUS,5
124,Drought,Rwanda,RWA,6
125,Drought,Saint Lucia,LCA,1
126,Drought,Saint Vincent and the Grenadines,VCT,1
127,Drought,Samoa,WSM,1
128,Drought,Sao Tome and Principe,STP,1
129,Drought,Senegal,SEN,10
130,Drought,Solomon Islands,SLB,3
131,Drought,Somalia,SOM,16
132,Drought,South Africa,ZAF,11
133,Drought,South Sudan,SSD,2
134,Drought,Soviet Union,SUN,1
135,Drought,Spain,ESP,4
136,Drought,Sri Lanka,LKA,12
137,Drought,Sudan (the),SDN,9
138,Drought,Swaziland,SWZ,7
139,Drought,Syrian Arab Republic,SYR,2
140,Drought,Tajikistan,TJK,2
141,Drought,"Tanzania, United Republic of",TZA,10
142,Drought,Thailand,THA,12
143,Drought,Timor-Leste,TLS,2
144,Drought,Togo,TGO,3
145,Drought,Tonga,TON,1
146,Drought,Trinidad and Tobago,TTO,1
147,Drought,Tunisia,TUN,2
148,Drought,Tuvalu,TUV,1
149,Drought,Uganda,UGA,9
150,Drought,Ukraine,UKR,1
151,Drought,United States of America (the),USA,17
