,Unnamed: 0,Unnamed: 0.1,Disaster Type,Country,ISO,counts,latitude,Longitude
0,0,0,Animal accident,Niger (the),NER,1,16,8
1,111,111,Drought,Niger (the),NER,16,16,8
2,384,384,Epidemic,Niger (the),NER,44,16,8
3,646,646,Flood,Niger (the),NER,31,16,8
4,745,745,Insect infestation,Niger (the),NER,6,16,8
5,1004,1004,Storm,Niger (the),NER,1,16,8
215,36,36,Drought,Cabo Verde,CPV,10,16,-24
216,302,302,Epidemic,Cabo Verde,CPV,2,16,-24
217,551,551,Flood,Cabo Verde,CPV,1,16,-24
218,724,724,Insect infestation,Cabo Verde,CPV,2,16,-24
219,909,909,Storm,Cabo Verde,CPV,3,16,-24
220,1078,1078,Volcanic activity,Cabo Verde,CPV,2,16,-24
909,155,155,Drought,Viet Nam,VNM,7,16,106
910,436,436,Epidemic,Viet Nam,VNM,11,16,106
911,708,708,Flood,Viet Nam,VNM,94,16,106
912,758,758,Insect infestation,Viet Nam,VNM,1,16,106
913,854,854,Landslide,Viet Nam,VNM,6,16,106
914,1070,1070,Storm,Viet Nam,VNM,123,16,106
915,1193,1193,Wildfire,Viet Nam,VNM,1,16,106
6,1,1,Complex Disasters,Armenia,ARM,1,40,45
7,22,22,Drought,Armenia,ARM,1,40,45
8,166,166,Earthquake,Armenia,ARM,2,40,45
9,445,445,Extreme temperature,Armenia,ARM,1,40,45
10,532,532,Flood,Armenia,ARM,3,40,45
11,766,766,Landslide,Armenia,ARM,1,40,45
12,890,890,Storm,Armenia,ARM,4,40,45
58,8,8,Complex Disasters,Korea (the Democratic People's Republic of),PRK,1,40,127
59,86,86,Drought,Korea (the Democratic People's Republic of),PRK,4,40,127
60,352,352,Epidemic,Korea (the Democratic People's Republic of),PRK,3,40,127
61,482,482,Extreme temperature,Korea (the Democratic People's Republic of),PRK,1,40,127
62,613,613,Flood,Korea (the Democratic People's Republic of),PRK,28,40,127
63,970,970,Storm,Korea (the Democratic People's Republic of),PRK,10,40,127
798,135,135,Drought,Spain,ESP,4,40,-4
799,260,260,Earthquake,Spain,ESP,3,40,-4
800,414,414,Epidemic,Spain,ESP,3,40,-4
801,512,512,Extreme temperature,Spain,ESP,10,40,-4
802,681,681,Flood,Spain,ESP,36,40,-4
803,837,837,Landslide,Spain,ESP,1,40,-4
804,1044,1044,Storm,Spain,ESP,27,40,-4
805,1182,1182,Wildfire,Spain,ESP,17,40,-4
1023,272,272,Earthquake,Turkmenistan,TKM,1,40,60
1024,698,698,Flood,Turkmenistan,TKM,1,40,60
13,2,2,Complex Disasters,Bangladesh,BGD,1,24,90
14,25,25,Drought,Bangladesh,BGD,7,24,90
15,171,171,Earthquake,Bangladesh,BGD,9,24,90
16,291,291,Epidemic,Bangladesh,BGD,31,24,90
17,449,449,Extreme temperature,Bangladesh,BGD,24,24,90
18,537,537,Flood,Bangladesh,BGD,96,24,90
19,771,771,Landslide,Bangladesh,BGD,6,24,90
20,895,895,Storm,Bangladesh,BGD,181,24,90
1133,701,701,Flood,United Arab Emirates (the),ARE,1,24,54
21,3,3,Complex Disasters,Burundi,BDI,1,-3.5,30
22,35,35,Drought,Burundi,BDI,6,-3.5,30
