,Unnamed: 0,milking_id,milking_oid,farm_id,animal_id,lactation_id,milking_system_id,mastiman_trial_id,weather_id,parity,started_at,ended_at,previously_ended_at,mi,dim,tmy,mylf,myrf,mylr,myrr,LS
5804,5804,120220000000000.0,2606096,1,410,4132,13,,,2,07/02/2022 08:40,07/02/2022 08:47,09/12/2021 13:35,1435.2,0.37,6.04,1.18,0.36,0.97,3.53,Early
5805,5805,120220000000000.0,2606312,1,410,4132,13,,,2,08/02/2022 06:18,08/02/2022 06:24,07/02/2022 08:47,21.62,1.27,9.22,3.05,3.44,1.69,1.04,Early
5806,5806,120220000000000.0,2606385,1,410,4132,13,,,2,08/02/2022 13:06,08/02/2022 13:11,08/02/2022 06:24,6.77,1.55,6.29,1.95,1.58,1.66,1.1,Early
5807,5807,120220000000000.0,2606438,1,410,4132,13,,,2,08/02/2022 18:34,08/02/2022 18:40,08/02/2022 13:11,5.48,1.78,6.85,1.93,2.3,1.58,1.04,Early
5808,5808,120220000000000.0,2606569,1,410,4132,13,,,2,09/02/2022 07:51,09/02/2022 07:57,08/02/2022 18:40,13.28,2.33,12.57,3.89,3.87,2.98,1.83,Early
5809,5809,120220000000000.0,2606801,1,410,4132,13,,,2,10/02/2022 05:44,10/02/2022 05:52,09/02/2022 07:57,21.92,3.24,21.95,6.02,6.9,5.84,3.19,Early
5810,5810,120220000000000.0,2606885,1,410,4132,13,,,2,10/02/2022 16:12,10/02/2022 16:18,10/02/2022 05:52,10.43,3.68,10.53,3.42,3.18,2.14,1.79,Early
5811,5811,120220000000000.0,2607017,1,410,4132,13,,,2,11/02/2022 03:30,11/02/2022 03:35,10/02/2022 16:18,11.29,4.15,13.39,4.1,4.04,3.13,2.12,Early
5812,5812,120220000000000.0,2607174,1,410,4132,13,,,2,11/02/2022 21:17,11/02/2022 21:24,11/02/2022 03:35,17.82,4.89,23.47,7.24,6.99,5.5,3.74,Early
5813,5813,120220000000000.0,2607341,1,410,4132,13,,,2,12/02/2022 12:49,12/02/2022 12:55,11/02/2022 21:24,15.52,5.54,18.57,5.35,5.39,4.76,3.07,Early
5814,5814,120220000000000.0,2607422,1,410,4132,13,,,2,12/02/2022 19:53,12/02/2022 19:59,12/02/2022 12:55,7.06,5.83,9.71,3.04,2.95,2.17,1.55,Early
5815,5815,120220000000000.0,2607484,1,410,4132,13,,,2,13/02/2022 01:13,13/02/2022 01:18,12/02/2022 19:59,5.31,6.05,8.33,2.54,2.38,1.94,1.47,Early
5816,5816,120220000000000.0,2607574,1,410,4132,13,,,2,13/02/2022 10:03,13/02/2022 10:09,13/02/2022 01:18,8.85,6.42,13.74,4.36,3.9,3.23,2.25,Early
5817,5817,120220000000000.0,2607662,1,410,4132,13,,,2,13/02/2022 17:48,13/02/2022 17:53,13/02/2022 10:09,7.74,6.75,12.39,4.01,3.66,2.93,1.79,Early
5818,5818,120220000000000.0,2607794,1,410,4132,13,,,2,14/02/2022 05:58,14/02/2022 06:05,13/02/2022 17:53,12.2,7.25,18.07,5.03,5.77,4.14,3.13,Early
